symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sz000426,426,兴业银锡,13.63,0.52,3.966,13.63,13.64,13.11,13.12,13.89,13.1,28748043,390331458,10:49:21,25.834,3.163,2420191.512257,2419645.937432,1.61939
sz000428,428,华天酒店,3.07,0.01,0.327,3.06,3.07,3.06,3.06,3.08,3.03,5322300,16241426,10:49:21,-24.919,1.9260000000000002,312810.282,312794.932,0.52237
sz000429,429,粤高速Ａ,13.44,-0.33,-2.3970000000000002,13.43,13.44,13.77,13.71,13.71,13.4,5923684,80248381,10:49:21,17.92,2.684,2810043.433344,1751674.184064,0.4545
sz000430,430,张家界,6.94,0.08,1.166,6.94,6.95,6.86,6.82,6.95,6.77,5484742,37753846,10:49:21,-11.763,3.485,280943.474084,230226.7272,1.65333
sz000488,488,ST晨鸣,2.05,-0.02,-0.966,2.05,2.06,2.07,2.06,2.07,2.03,32818281,67218275,10:49:21,-4.556,0.378,602998.521,343544.02865,1.9583400000000002
sz000498,498,山东路桥,5.8,0.02,0.34600000000000003,5.8,5.81,5.78,5.77,5.82,5.74,4380600,25340578,10:49:21,4.353,0.642,905378.96818,845584.30608,0.30047
sz000501,501,武商集团,8.55,-0.04,-0.466,8.55,8.56,8.59,8.53,8.62,8.47,5103500,43535658,10:49:18,31.667,0.595,657488.785005,656891.276805,0.6642600000000001
sz000503,503,国新健康,11.92,-0.05,-0.418,11.91,11.92,11.97,11.88,11.95,11.65,10419398,122788007,10:49:21,-136.073,8.417,1169724.538144,1138442.51024,1.09096
sz000504,504,南华生物,10.45,0.37,3.6710000000000003,10.45,10.46,10.08,10.07,10.58,10.05,5647900,58626022,10:49:21,-116.111,13.87,344874.13741,324648.792545,1.81798
sz000505,505,京粮控股,5.96,-0.02,-0.334,5.96,5.97,5.98,5.97,5.98,5.92,1800400,10719719,10:49:21,42.571,1.3780000000000001,433262.349596,376898.680256,0.2847
sz000506,506,*ST中润,5.24,0.01,0.191,5.23,5.24,5.23,4.97,5.32,4.97,38716773,196158004,10:49:21,174.667,8.335,486805.306764,486623.583564,4.16905
sz000507,507,珠海港,4.93,0.01,0.203,4.92,4.93,4.92,4.92,4.93,4.89,3247933,15965038,10:49:21,20.533,0.864,453429.303235,444852.512229,0.35995000000000005
sz000509,509,华塑控股,3.69,0.34,10.149,3.69,0.0,3.35,3.37,3.69,3.29,31834300,114906112,10:49:21,312.712,29.17,395984.251188,395983.054152,2.9665
sz000510,510,新金路,3.77,0.05,1.344,3.76,3.77,3.72,3.72,3.81,3.7,9425500,35501319,10:49:18,-13.0,1.796,244500.933053,228712.636009,1.55366
sz000513,513,丽珠集团,34.23,-0.19,-0.552,34.2,34.23,34.42,34.31,34.38,34.16,2070926,70854017,10:49:21,16.3,2.203,3119536.43379,2000172.040419,0.35441
sz000514,514,渝 开 发,4.12,-0.09,-2.138,4.12,4.13,4.21,4.19,4.2,4.1,7575400,31248972,10:49:21,32.881,0.9410000000000001,347633.63758,347633.63758,0.8978
